vSEX,cMASAK,vEDUCLVL,cSKI
LAKI-LAKI,31 - 35,S2,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S2,P2
LAKI-LAKI,31 - 35,D3,P1
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,STM,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,31 - 35,D3,P2
LAKI-LAKI,21 - 25,SMU,P2
LAKI-LAKI,21 - 25,SLTP,P2
LAKI-LAKI,> 35 ,S1,P2
LAKI-LAKI,> 35 ,JURU,P2
LAKI-LAKI,> 35 ,D1,P2
LAKI-LAKI,> 35 ,JURU,P2
LAKI-LAKI,> 35 ,JURU,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,31 - 35,JURU,P2
LAKI-LAKI,> 35 ,S1,P2
LAKI-LAKI,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,> 35 ,JURU,P2
LAKI-LAKI,> 35 ,JURU,P2
LAKI-LAKI,> 35 ,JURU,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,> 35 ,SLTP,P2
LAKI-LAKI,> 35 ,SD,P2
LAKI-LAKI,> 35 ,SD,P2
LAKI-LAKI,> 35 ,SMU,P2
LAKI-LAKI,> 35 ,S1,P2
LAKI-LAKI,> 35 ,SMU,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,31 - 35,D2,P2
LAKI-LAKI,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,D3,P2
PEREMPUAN,31 - 35,SMU,P2
PEREMPUAN,31 - 35,SMU,P2
PEREMPUAN,31 - 35,S1,P2
LAKI-LAKI,31 - 35,D3,P2
LAKI-LAKI,31 - 35,S2,P2
LAKI-LAKI,31 - 35,D2,P2
PEREMPUAN,31 - 35,D2,P2
LAKI-LAKI,31 - 35,S2,P2
LAKI-LAKI,> 35 ,S1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S2,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
PEREMPUAN,> 35 ,JURU,P2
PEREMPUAN,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,SMU,P2
PEREMPUAN,31 - 35,SMU,P2
PEREMPUAN,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,STM,P2
PEREMPUAN,> 35 ,SMU,P2
LAKI-LAKI,31 - 35,D3,P2
LAKI-LAKI,31 - 35,D3,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,D3,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,SMU,P2
PEREMPUAN,31 - 35,SMU,P2
PEREMPUAN,31 - 35,S1,P2
PEREMPUAN,> 35 ,SMU,P2
PEREMPUAN,> 35 ,D1,P2
PEREMPUAN,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,STM,P2
LAKI-LAKI,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,STM,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,SMU,P2
PEREMPUAN,31 - 35,D1,P2
PEREMPUAN,31 - 35,SMU,P2
PEREMPUAN,31 - 35,S1,P2
PEREMPUAN,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
PEREMPUAN,> 35 ,SMU,P2
PEREMPUAN,31 - 35,SMU,P2
PEREMPUAN,31 - 35,S1,P2
LAKI-LAKI,31 - 35,SMU,P2
PEREMPUAN,> 35 ,S1,P2
LAKI-LAKI,> 35 ,S1,P1
LAKI-LAKI,> 35 ,SMU,P2
PEREMPUAN,> 35 ,S1,P2
PEREMPUAN,> 35 ,SMU,P2
LAKI-LAKI,> 35 ,S2,P2
PEREMPUAN,> 35 ,S1,P2
PEREMPUAN,> 35 ,D1,P2
LAKI-LAKI,31 - 35,SMU,P2
LAKI-LAKI,31 - 35,S2,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,STM,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,31 - 35,S1,P2
LAKI-LAKI,31 - 35,SMU,P2
PEREMPUAN,31 - 35,SMU,P2
LAKI-LAKI,> 35 ,S1,P2
PEREMPUAN,31 - 35,S1,P2
PEREMPUAN,31 - 35,S1,P2
PEREMPUAN,31 - 35,SMU,P2
LAKI-LAKI,> 35 ,SLTP,P2
LAKI-LAKI,31 - 35,D1,P2
LAKI-LAKI,31 - 35,D2,P2
